Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Samsung Galaxy A70s,Android 9.0 (Pie); One UI,Qualcomm SDM675 Snapdragon 675 (11 nm),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,"128GB 6GB RAM, 128GB 8GB RAM",Non-removable Li-Po 4500 mAh battery
Samsung Galaxy A20s,Android 9.0 (Pie),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,"32GB 3GB RAM, 64GB 4GB RAM",Non-removable Li-Po 4000 mAh battery
Samsung Galaxy M30s,Android 9.0 (Pie); One UI,Exynos 9611 (10nm),Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,"64GB 4GB RAM, 128GB 6GB RAM",Non-removable Li-Po 6000 mAh battery
Samsung Galaxy M10s,Android 9.0 (Pie),Exynos 7884B,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),Mali-G71 MP2,32GB 3GB RAM,Non-removable Li-Ion 4000 mAh battery
Samsung Galaxy Fold 5G,Android 9.0 (Pie),Qualcomm SDM855 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,512GB 12GB RAM,Non-removable Li-Po 4235 mAh battery
Apple iPhone 11 Pro Max,"iOS 13, upgradable to iOS 13.1.2",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),"64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",Non-removable Li-Ion 3969 mAh battery (15.04 Wh)
Apple iPhone 11 Pro,"iOS 13, upgradable to iOS 13.1.2",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),"64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",Non-removable Li-Ion 3046 mAh battery (11.67 Wh)
Apple iPhone 11,"iOS 13, upgradable to iOS 13.1.2",Apple A13 Bionic (7 nm+),Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",Non-removable Li-Ion 3110 mAh battery (11.91 Wh)
Apple iPad 10.2,"iPadOS 13.1, upgradable to iPadOS 13.1.2",Apple A10 Fusion (16 nm),Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),PowerVR Series7XT Plus (six-core graphics),"32GB 3GB RAM, 128GB 3GB RAM",Non-removable Li-Po 8827 mAh battery (32.9 Wh)
Huawei Mate 30 RS Porsche Design,Android 10; EMUI 10,HiSilicon Kirin 990 (7 nm+),Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,512GB 12GB RAM,Non-removable Li-Po 4500 mAh battery
